OSM Tags,OSM Values,Constraint Name,Constraint Type
Amenity,Arts Centre,Buildings,Point
Amenity,Cinema,Buildings,Point
Amenity,Casino,Buildings,Point
Amenity,Community Centre,Buildings,Point
Amenity,Conference Centre,Buildings,Point
Amenity,Events Venue,Buildings,Point
Amenity,Fountain,Buildings,Point
Amenity,Nightclub,Buildings,Point
Amenity,Planetarium,Buildings,Point
Amenity,Social Centre,Buildings,Point
Amenity,Studio,Buildings,Point
Amenity,Theatre,Buildings,Point
Amenity,Courthouse,Buildings,Point
Amenity,Fire Station,Buildings,Point
Amenity,Post Office,Buildings,Point
Amenity,Post Depot,Buildings,Point
Amenity,Townhall,Buildings,Point
Amenity,Drinking Water,IGNORE,Point
Amenity,Shelter,Buildings,Point
Amenity,Telephone,IGNORE,Point
Amenity,Water Point,IGNORE,Point
Amenity,Watering Place,IGNORE,Point
Amenity,Recycling,IGNORE,Point
Amenity,Waste Disposal,IGNORE,Point
Amenity,Waste Transfer Station,Buildings,Point
Amenity,Animal Boarding,IGNORE,Point
Amenity,Animal Breeding,IGNORE,Point
Amenity,Animal Shelter,Buildings,Point
Amenity,Childcare,Buildings,Point
Amenity,Crematorium,Buildings,Point
Amenity,Dive Centre,Buildings,Point
Amenity,Graveyard,Cemetery Point,Point
Amenity,Internet Cafe,Buildings,Point
Amenity,Kitchen,Buildings,Point
Amenity,Monastery,Buildings,Point
Amenity,Funeral Hall,Buildings,Point
Amenity,Restaurant,Buildings,Point
Amenity,Taxi,Buildings,Point
Amenity,Parking,Urban Areas,Area
Amenity,Bar,Urban Areas,Area
Amenity,Fire Station,Urban Areas,Area
Amenity,Biergarten,Urban Areas,Area
Amenity,Café,Urban Areas,Area
Amenity,Pub,Urban Areas,Area
Amenity,Food Court,Urban Areas,Area
Amenity,Fast Food,Urban Areas,Area
Amenity,College,Urban Areas,Area
Amenity,Ice Cream,Urban Areas,Area
Amenity,Driving School,Urban Areas,Area
Amenity,Kindergarten,Urban Areas,Area
Amenity,Language School,Urban Areas,Area
