OSM Tags,OSM Values,Constraint Type,Constraint Name
Amenity,Veterinary,Point,Healthcare Facility
Amenity,Hospital,Point,Healthcare Facility
Amenity,Cinema,Point,Commercial Building
Amenity,Post Box,Point,Commercial Building
Amenity,Refugee Site,Point,Refugee Site
Amenity,Nursing Home,Point,Healthcare Facility
Amenity,Pharmacy,Point,Healthcare Facility
Amenity,Social Facility,Point,Social Facility
Amenity,Arts Centre,Point,Building
Amenity,Cinema,Point,Commercial Building
Amenity,Casino,Point,Commercial Building
Amenity,Community Centre,Point,Social Facility
Amenity,Conference Centre,Point,Building
Amenity,Events Venue,Point,Commercial Building
Amenity,Fountain,Point,IGNORE
Amenity,Nightclub,Point,Commercial Building
Amenity,Planetarium,Point,Educational Facility
Amenity,Social Centre,Point,Social Facility
Amenity,Studio,Point,Commercial Building
Amenity,Theatre,Point,Commercial Building
Amenity,Courthouse,Point,Building
Amenity,Fire Station,Point,Building
Amenity,Post Office,Point,Building
Amenity,Post Depot,Point,Building
Amenity,Townhall,Point,Social Facility
Amenity,Drinking Water,Point,IGNORE
Amenity,Shelter,Point,Social Facility
Amenity,Telephone,Point,IGNORE
Amenity,Water Point,Point,IGNORE
Amenity,Watering Place,Point,IGNORE
Amenity,Recycling,Point,IGNORE
Amenity,Waste Disposal,Point,IGNORE
Amenity,Waste Transfer Station,Point,IGNORE
Amenity,Animal Boarding,Point,Animal Keeping
Amenity,Animal Breeding,Point,Animal Keeping
Amenity,Animal Shelter,Point,Animal Keeping
Amenity,Childcare,Point,Social Facility
Amenity,Crematorium,Point,Crematorium
Amenity,Dive Centre,Point,IGNORE
Amenity,Graveyard,Point,Cemetery
Amenity,Internet Cafe,Point,Commercial Building
Amenity,Kitchen,Point,Commercial Building
Amenity,Monastery,Point,Religious Building
Amenity,Funeral Hall,Point,Building
Amenity,Restaurant,Point,Commercial Building
Amenity,Taxi,Point,Building
Amenity,Parking,Area,Urban Area
Amenity,Bar,Area,Commercial Building
Amenity,Fire Station,Area,Urban Area
Amenity,Biergarten,Area,Commercial Building
Amenity,Caf??,Area,Commercial Building
Amenity,Pub,Area,Commercial Building
Amenity,Food Court,Area,Commercial Building
Amenity,Fast Food,Area,Commercial Building
Amenity,College,Area,Educational Facility
Amenity,Ice Cream,Area,Commercial Building
Amenity,Driving School,Area,Educational Facility
Amenity,Kindergarten,Area,Educational Facility
Amenity,Language School,Area,Educational Facility
Amenity,Library,Area,Educational Facility
Amenity,Music School,Area,Educational Facility
Amenity,School,Area,Educational Facility
Amenity,University,Area,Educational Facility
Amenity,Bank,Area,Commercial Building
Amenity,Veterinary,Area,Healthcare Facility
Amenity,Hospital,Area,Healthcare Facility
Amenity,Cinema,Area,Commercial Building
Amenity,Refugee Site,Area,Refugee Site
Amenity,place_of_worship,Area,Religious Building
Amenity,Clinic,Area,Healthcare Facility
Amenity,Post Office,Area,Urban Area
Amenity,Public Buildings,Area,Public Building
Amenity,Bus Station,Area,Urban Area
Amenity,Dentist,Area,Healthcare Facility
Amenity,Fuel,Area,Commercial
Amenity,Pharmacy,Area,Healthcare Facility
Amenity,Social Facility,Area,Social Facility
Amenity,Arts Centre,Area,Building
Amenity,Casino,Area,Commercial Building
Amenity,Community Centre,Area,Social Facility
Amenity,Conference Centre,Area,Building
Amenity,Events Venue,Area,Commercial Building
Amenity,Fountain,Area,IGNORE
Amenity,Nightclub,Area,Commercial Building
Amenity,Planetarium,Area,Educational Facility
Amenity,Social Centre,Area,Social Facility
Amenity,Studio,Area,Commercial Building
Amenity,Theatre,Area,Commercial Building
Amenity,Courthouse,Area,Building
Amenity,Police,Area,Building
Amenity,Post Box,Area,Commercial Building
Amenity,Post Depot,Area,Urban Area
Amenity,Townhall,Area,Social Facility
Amenity,Shelter,Area,Social Facility
